不可重复,假名,"如果有的话, 给出汉字",中文翻译,连到例子表,导出的图片名字,使用声音文件,声音开始时间,声音结束时间,来源
id,kana,kanji,chinese,example_id,image_path,sound_file,sound_start,sound_end,book_id
int,string,string,string,int,string,string,int,int,int
1619,おうさま,王様,皇帝,0,res://assets/words/jp_word_1619.png,,0,0,2
1620,わりあい,割合,比例,0,res://assets/words/jp_word_1620.png,,0,0,2
1621,~ぎょうめ,~行目,第~行,0,res://assets/words/jp_word_1621.png,,0,0,2
1622,こまった,困った,令人为难的,0,res://assets/words/jp_word_1622.png,,0,0,2
1623,ひとたち,人たち,人们,0,res://assets/words/jp_word_1623.png,,0,0,2
1624,あやまる,謝る,道歉,0,res://assets/words/jp_word_1624.png,,0,0,2
1625,サボる,,偷懒,0,res://assets/words/jp_word_1625.png,,0,0,2
1626,じゆう,自由,,0,res://assets/words/jp_word_1626.png,,0,0,2
1627,じゆうな,自由な,自由的,0,res://assets/words/jp_word_1627.png,,0,0,2
1628,たべほうだい,食べ放題,自助餐,0,res://assets/words/jp_word_1628.png,,0,0,2
1629,おに,鬼,鬼,0,res://assets/words/jp_word_1629.png,,0,0,2
1630,ぼう,棒,棒子,0,res://assets/words/jp_word_1630.png,,0,0,2
1631,おこる,怒る,生气,0,res://assets/words/jp_word_1631.png,,0,0,2
1632,ほっぺた,,脸颊,0,res://assets/words/jp_word_1632.png,,0,0,2
1633,また,,"另外,又",0,res://assets/words/jp_word_1633.png,,0,0,2
1634,あらわす,表す,表现,0,res://assets/words/jp_word_1634.png,,0,0,2
1635,せんもん,専門,专业,0,res://assets/words/jp_word_1635.png,,0,0,2
1636,なぜなら,,因为,0,res://assets/words/jp_word_1636.png,,0,0,2
1637,イメージ,,印象,0,res://assets/words/jp_word_1637.png,,0,0,2
1638,おとずれる,訪れる,访问,0,res://assets/words/jp_word_1638.png,,0,0,2
1639,りょこうしゃ,旅行者,旅游者,0,res://assets/words/jp_word_1639.png,,0,0,2
1640,じっさいに,実際に,实际上,0,res://assets/words/jp_word_1640.png,,0,0,2
1641,らいにちする,来日する,访日,0,res://assets/words/jp_word_1641.png,,0,0,2
1642,イメージをもつ,イメージを持つ,持有印象,0,res://assets/words/jp_word_1642.png,,0,0,2
1643,ひょう,表,表格,0,res://assets/words/jp_word_1643.png,,0,0,2
1644,ひとびと,人々,人们,0,res://assets/words/jp_word_1644.png,,0,0,2
1645,れいぎただしい,礼儀正しい,有礼貌,0,res://assets/words/jp_word_1645.png,,0,0,2
1646,ポイント,,"得分,分数",0,res://assets/words/jp_word_1646.png,,0,0,2
1647,~にくわえて,~に加えて,加上~,0,res://assets/words/jp_word_1647.png,,0,0,2
1648,だい~い,第~位,,0,res://assets/words/jp_word_1648.png,,0,0,2
1649,おもてなしのこころ,おもてなしの心,热情接待之诚意,0,res://assets/words/jp_word_1649.png,,0,0,2
1650,とし,都市,城市,0,res://assets/words/jp_word_1650.png,,0,0,2
1651,けいかん,景観,景观,0,res://assets/words/jp_word_1651.png,,0,0,2
1652,ユネスコむけいぶんかいさん,ユネスコ無形文化遺産,联合国教科文组织无形文化遗产,0,res://assets/words/jp_word_1652.png,,0,0,2
1653,とうろくする,登録する,注册,0,res://assets/words/jp_word_1653.png,,0,0,2
1654,こんご,今後,今后,0,res://assets/words/jp_word_1654.png,,0,0,2
1655,こうつうきかん,交通機関,交通机关,0,res://assets/words/jp_word_1655.png,,0,0,2
